sku,name,brand,purchase_price,selling_price,stock,min_stock,category
APL-13-128,iPhone 13 128GB,Apple,8025000,8336000,91,3,Smartphone
APL-14-128,iPhone 14 128GB,Apple,8300000,8650000,13,6,Smartphone
APL-15-128,iPhone 15 128GB,Apple,10900000,11500000,41,5,Smartphone
APL-16-128,iPhone 16 128GB,Apple,13450000,13800000,27,3,Smartphone
APL-16P-256,iPhone 16 Pro 256GB,Apple,19500000,19650000,96,10,Smartphone
APL-17-256,iPhone 17 256GB,Apple,16700000,17000000,21,8,Smartphone
APL-17P-256,iPhone 17 Pro 256GB,Apple,22950000,23300000,14,2,Smartphone
APL-17PM-256,iPhone 17 Pro Max 256GB,Apple,24800000,25750000,21,5,Smartphone
INF-GT30-8/256,Infinix GT 30 8/256GB,Infinix,3188000,3425000,39,10,Smartphone
INF-GT30P-8/256,Infinix GT 30 Pro 8/256GB,Infinix,3700000,3900000,87,2,Smartphone
INF-H60P-8/128,Infinix Hot 60 Pro 8/128GB,Infinix,2145000,2250000,81,5,Smartphone
INF-H60P-8/256,Infinix Hot 60 Pro 8/256GB,Infinix,2358000,2545000,93,10,Smartphone
INF-H60PP-8/256,Infinix Hot 60 Pro Plus 8/256GB,Infinix,2725000,2838000,63,5,Smartphone
INF-H60I-6/128,Infinix Hot 60i 6/128GB,Infinix,1614000,1771000,67,6,Smartphone
INF-H60I-8/128,Infinix Hot 60i 8/128GB,Infinix,1615000,1700000,10,4,Smartphone
INF-H60I-8/256,Infinix Hot 60i 8/256GB,Infinix,1966000,2095000,99,8,Smartphone
INF-HOT60I-8/256,Infinix Hot60i 8/256GB,Infinix,1975000,2100000,53,6,Smartphone
INF-N50-8/256,Infinix Note 50 8/256GB,Infinix,2560000,2662000,29,5,Smartphone
INF-N50P-8/256,Infinix Note 50 Pro 8/256GB,Infinix,2973000,3141000,53,3,Smartphone
INF-N50X5G-8/256,Infinix Note 50x 5G 8/256GB,Infinix,2800000,2950000,21,8,Smartphone
INF-N60-8/256,Infinix Note 60 8/256GB,Infinix,3750000,4000000,22,7,Smartphone
INF-N60P-12/256,Infinix Note 60 Pro 12/256GB,Infinix,5500000,5925000,54,6,Smartphone
INF-N60P-8/256,Infinix Note 60 Pro 8/256GB,Infinix,5025000,5500000,15,9,Smartphone
INF-NE5G-8/256,Infinix Note Edge 5G 8/256GB,Infinix,3262000,3625000,78,3,Smartphone
INF-S10-4/128,Infinix Smart 10 4/128GB,Infinix,1324000,1395000,58,3,Smartphone
INF-S10-4/64,Infinix Smart 10 4/64GB,Infinix,1207000,1268000,80,6,Smartphone
INF-S10P-8/128,Infinix Smart 10 Plus 8/128GB,Infinix,1585000,1650000,90,7,Smartphone
INF-S20-4/128,Infinix Smart 20 4/128GB,Infinix,1419000,1589000,83,5,Smartphone
INF-S20-4/64,Infinix Smart 20 4/64GB,Infinix,1422000,1564000,100,3,Smartphone
ITL-A1000C-4/64,Itel A1000c 4/64GB,Itel,1080000,1200000,15,5,Smartphone
ITL-A100C-3/64,Itel A100c 3/64GB,Itel,1086000,1183000,47,3,Smartphone
ITL-A100C-4/64,Itel A100c 4/64GB,Itel,1110000,1200000,39,3,Smartphone
ITL-A90-4/64,Itel A90 4/64GB,Itel,1100000,1200000,58,6,Smartphone
ITL-C100-8/128,Itel City 100 8/128GB,Itel,1350000,1550000,68,7,Smartphone
ITL-S26U-8/256,Itel S26 Ultra 8/256GB,Itel,2488000,2675000,30,7,Smartphone
MOT-G57P-8/256,Motorola G 57 Power 8/256GB,Motorola,3125000,3200000,95,6,Smartphone
MOT-MG06P-4/128,Motorola Moto G 06 Power 4/128GB,Motorola,1675000,1757000,99,3,Smartphone
MOT-MG86P5G-8/256,Motorola Moto G 86 Power 5G 8/256GB,Motorola,3750000,4100000,87,4,Smartphone
NOK-105C,Nokia 105 Charcoal,Nokia,238000,325000,78,5,Smartphone
OPP-A6P-8/128,Oppo A6 Pro 8/128GB,Oppo,3667000,4058000,30,9,Smartphone
OPP-A6P-8/256,Oppo A6 Pro 8/256GB,Oppo,3895000,4175000,58,6,Smartphone
OPP-A6X-4/128,Oppo A6x 4/128GB,Oppo,1675000,2500000,91,10,Smartphone
OPP-A6X-4/64,Oppo A6x 4/64GB,Oppo,1860000,2000000,38,7,Smartphone
OPP-A6X-6/128,Oppo A6x 6/128GB,Oppo,3000000,3050000,17,5,Smartphone
OPP-R155G-12/256,Oppo Reno 15 5G 12/256GB,Oppo,7500000,8300000,14,7,Smartphone
OPP-R155G-8/256,Oppo Reno 15 5G 8/256GB,Oppo,7333000,7683000,61,6,Smartphone
OPP-R15F5G-12/256,Oppo Reno 15 F 5G 12/256GB,Oppo,6250000,7000000,18,5,Smartphone
OPP-R15F5G-8/256,Oppo Reno 15 F 5G 8/256GB,Oppo,5775000,6112000,82,7,Smartphone
OPP-R15F5G-12/256-2,Oppo Reno 15f 5G 12/256GB,Oppo,6200000,6750000,37,9,Smartphone
OPP-R15F5G-8/256-2,Oppo Reno 15f 5G 8/256GB,Oppo,5710000,6125000,60,9,Smartphone
RLM-15T-8/128,Realme 15t 8/128GB,Realme,3420000,3655000,28,6,Smartphone
RLM-C71-4/128,Realme C71 4/128GB,Realme,1776000,1880000,27,5,Smartphone
RLM-C71-6/128,Realme C71 6/128GB,Realme,1945000,2088000,81,10,Smartphone
RLM-C71-8/128,Realme C71 8/128GB,Realme,2202000,2338000,43,8,Smartphone
RLM-C855G-8/256,Realme C85 5G 8/256GB,Realme,3325000,3500000,84,8,Smartphone
RLM-C85-6/128,Realme C85 6/128GB,Realme,2395000,2600000,56,5,Smartphone
RLM-C85-8/128,Realme C85 8/128GB,Realme,2582000,2742000,27,10,Smartphone
RLM-C85-8/256,Realme C85 8/256GB,Realme,2775000,3000000,73,3,Smartphone
